generation,evaluations,best_fitness,mean_fitness,timestamp
1,20,1.0302098729712277,0.2767827251160783,2025-09-24T10:36:57
2,40,1.7945377402844847,0.27816234124569733,2025-09-24T10:37:03
3,60,3.736771199223833,0.5263142135298107,2025-09-24T10:37:09
4,80,3.736771199223833,0.5044119008143466,2025-09-24T10:37:15
5,100,5.053960667096039,0.8690095073917525,2025-09-24T10:37:21
6,120,5.053960667096039,0.587710372298093,2025-09-24T10:37:27
7,140,5.053960667096039,1.0592909046394101,2025-09-24T10:37:33
8,160,5.053960667096039,0.5811135209291153,2025-09-24T10:37:39
9,180,6.8481480077433865,1.0651339689100916,2025-09-24T10:37:45
10,200,6.8481480077433865,0.6511293912772489,2025-09-24T10:37:52
11,220,6.8481480077433865,1.1029434267947642,2025-09-24T10:37:58
12,240,6.8481480077433865,1.4383348193830856,2025-09-24T10:38:04
13,260,6.8481480077433865,1.0905048105793331,2025-09-24T10:38:10
14,280,7.244155245560764,1.856264805163546,2025-09-24T10:38:16
15,300,7.244155245560764,1.4687002410544536,2025-09-24T10:38:23
16,320,7.244155245560764,2.208042096390898,2025-09-24T10:38:29
17,340,9.294392343647107,2.9267921306131344,2025-09-24T10:38:36
18,360,9.294392343647107,2.258584119482498,2025-09-24T10:38:42
19,380,10.099056204935627,4.0793869806166905,2025-09-24T10:38:48
20,400,10.099056204935627,2.3767209519269654,2025-09-24T10:38:54
21,420,10.099056204935627,2.808148764180185,2025-09-24T10:39:00
22,440,10.099056204935627,3.147492039402771,2025-09-24T10:39:06
23,460,10.099056204935627,2.6815173363100793,2025-09-24T10:39:12
24,480,10.099056204935627,2.4188594737412683,2025-09-24T10:39:18
25,500,10.099056204935627,3.1701023822376446,2025-09-24T10:39:24
26,520,10.099056204935627,2.7423875685434886,2025-09-24T10:39:30
27,540,10.099056204935627,2.621032670038042,2025-09-24T10:39:36
28,560,10.099056204935627,3.226676240011013,2025-09-24T10:39:43
29,580,10.099056204935627,3.1428976556523596,2025-09-24T10:39:52
30,600,10.099056204935627,3.1005961780813474,2025-09-24T10:40:00
31,620,10.099056204935627,3.3692088379888894,2025-09-24T10:40:07
32,640,10.099056204935627,3.5313998971663643,2025-09-24T10:40:14
33,660,10.570466460894046,5.738328494162506,2025-09-24T10:40:20
34,680,10.623288664411676,5.65744140277164,2025-09-24T10:40:27
35,700,10.623288664411676,4.665752751236818,2025-09-24T10:40:33
36,720,10.746449313375752,6.1960795941154645,2025-09-24T10:40:40
37,740,10.897179647072525,5.6907029083439795,2025-09-24T10:40:47
38,760,10.897179647072525,4.244353617996469,2025-09-24T10:40:56
39,780,10.897179647072525,5.574071002872441,2025-09-24T10:41:04
40,800,11.382343337859265,7.247352856705082,2025-09-24T10:41:11
